Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Syria,Anti-Turkey protest,24-July,Not Free,"Anti-Syrian and anti-refugee protests in Turkey, where Syrian houses, businesses, and cars were destroyed or vandalized.",Protesting against Turkish military presence in Syria and against anti-Syrian protest in Turkey.,>100,General public,1 day,"No policy/leadership change. In the Turkey-controlled region of northern Syria, seven people were killed by the Turkish military.  Turkey closed its main border along northern Syria.",Hundreds,Damascus,0,0,X,0,0,0,X,0,0,"10000,00%"
Pakistan,Protest against counterrerrorism operation,24-July,Partly Free,"In June 2024, Pakistan government approved military plans against extremist violence and terrorism in the area.",Protesting against counterterrorism military operations and lack of  security provided by the authorities. Protestors are opposed to the plans because they fear it will cause disruptions to their lives and their businesses.,">1,000",Swat valley residents,1 day,No policy/leadership change.,Thousands,Islamabad,0,0,X,0,0,0,0,0,0,"100,00%"
Serbia,Environmental protests,21-Sep,Partly free,Call for protest by thirty environmental groups over plans to develop a lithium mine; introduction of laws to ease expropriation of land and the holding of referenda on environmental issues.,Concerns over worsening pollution and the environmental impact of mining. Call for legislators to permanently ban lithium and boron mining.,">1,000",General public.,4 months in 2021–2022; 2 months starting December 2022; intermittently since July 2024,"In December 2021, the government suspended laws and plans that would have allowed the project to go forward, and in January 2022, it announced that the project had been canceled altogether. The government revoked the mining corporation's lithium exploration licenses in January 2023 after renewed protests. In July 2024, the Constitutional Court ruled that it was unconstitutional for the government to revoke the licenses. The government announced that it would move forward with a mining project. In October 2024, Parliament rejected a law proposed by the opposition that would have banned lithium and borate mining and exploration.",Thousands,Belgrade,X,X,X,0,0,0,0,X,0,"100,00%"
Israel,Protest for ultra-Orthodox conscription,24-mar.,Free,"The Supreme Court ruled that the current system of conscription—which requires most Jewish men to serve nearly three years, and Jewish women two years, in the Israeli military, but exempts ultra-Orthodox from conscription if they are studying in religious seminary full-time—was discriminatory. The court cited the need for the burden of military service to be shared across society. It gave the government until April 1 to present a bill for a new system.",Demanding an end to the exemption of ultra-Orthodox Jewish men from compulsory military service.,">10,000",General public,1 month in March 2024; active beginning June 2024.,"No policy/leadership change in response to the protests. On March 27, 2024 the government asked the High Court for an extension after a draft request by the Attorney General's office, which said the state would be required to conscript ultra-Orthodox students. The government announced on March 28 that it had not agreed on an extension to exempt ultra-Orthodox Jews from conscription. In June 2024, the Supreme Court ruled that there was no legal basis for the draft exemption. On July 2024, the government announced that it would begin drafting ultra-Orthodox men.",Tens of thousands,Jerusalem,X,0,X,0,X,0,0,0,0,"1000,00%"
Turkey,Anti-Syrian riots,24-July,Not Free,Turkish authorities arrested a Syrian man accused of sexually abusing a seven-year-old girl.,Anti-Syrian sentiments; protesting against immigration and Syrian refugees; demanding Syrian refugees be expelled from Turkey.,>100,General public,3 days,No policy/leadership change. Over 470 people were arrested for violence against the Syrian community during the protests.,Hundreds,Ankara,0,0,X,0,0,0,0,0,0,"10000,00%"
Kenya,Finance Bill protests,24-June,Partly Free,"Approval of 2024 finance bill by Kenyan parliament, which proposed a new tax system to raise $2.7 billion in additional taxes.",Protestors intially called for the government to reject the bill. They have since called for the resignation of President William Ruto.,">10,000","General public, youth",2 months,"Since the start of the protest, at least fifty people have been killed. On June 26, Ruto announced that he would not sign the finance bill. On July 25, the National Assembly rejected the bill in its entirety. Ruto fired his cabinet members on July 11, then announced new cabinet nominations on July 24. These nominations include members of the opposition. On August 19, Kenya's new finance minister announced that the government would reintroduce some of the previously proposed taxes in a new tax amendment bill.",Tens of Thousands,Nairobi,0,X,X,X,X,0,X,0,0,"1000,00%"
India,Exam irregularities protest,24-June,Partly Free,"Release of National Eligibility-cum-Entrance Test (Undergraduate), or NEET (UG), results, which had an abnormally large number of high scores. (NEET (UG) is an entry exam for undergraduate medical schools). Cancellation of University Grants Commission–National Eligibility Test (UGC-NET), an exam used to determine the eligibility of PhD candidates or candidates for postdoctoral positions, due to leaking of paper questions.","Students are protesting the faulty grading of the NEET (UG) exams and the allegations of paper leaks and fraud, as well as the question leaks of the UGC-NET. Students are critizing the National Testing Agency (NTA) and calling for the resignation of Union Education Minister Dharmendra Pradhan.",">1,000",Students,1 month,"Opposition parties have criticized the ruling party and called for protests. The NTA has promised to create a reform committee to bring improvements to the agency. On July 23, the Supreme Court declined petitions to cancel NEET (UG) over a lack of proof that the paper leaks had impacted the exam results. As of September 20, the Central Bureau of Investigation had arrested forty-eight individuals in connection with the NEET (UG) paper leak.",Thousands,New Delhi,0,0,0,X,0,0,0,0,0,"100,00%"
France,Protest against National Rally,24-June,Free,Snap parliamentary elections called by President Emmanuel Macron.,"Protesting the National Rally (NR) and calling on citizens to block the party from gaining power in the elections. In second protest, criticizing NR's attitudes towards women's rights.",">100,000","General public, women's rights groups",2 days (June 15 and June 23),"No policy/leadership change. In July 2024, the National Rally failed to win the majority in the parliament.",Hundreds of thousands,Paris,0,0,X,0,0,X,0,0,0,"10000,00%"
Switzerland,2024 Women's Strike,24-June,Free,Anniversary of Women's Strike Day on June 14.,"Demanding equal pay and equal rights for women. Also protesting against gender discrimination, harrassment, sexual violence, and racism.",">1,000","Women, general public",1 day,No policy/leadership change.,Thousands,Bern,0,X,X,0,0,0,0,0,0,"100,00%"
Japan,Protest against amendment of immigration and refugee law,24-June,Free,The Japanese Diet proposed an amendment on the Immigration Control and Refugee Recognition Law that would allow the permanent residency status of foreigners to be more easily revoked.,Protesting against the passage of the amendment.,>100,"Ethnic minorities, including ethnic Koreans and ethnic Chinese",1 day,No policy/leadership change. The Diet passed the amendment on June 6.,Hundreds,Tokyo,0,0,0,0,0,0,0,0,0,"10000,00%"
Brazil,Protest against abortion ban,24-June,Free,The Brazilian legislature proposed a bill that would remove exceptions on second-trimester abortions and allow prosecutions of such abortions as homicide.,Protesting against the passage of the bill; demanding abortion rights.,">1,000","Women, feminist groups",2 weeks,The vote on the bill has been delayed and may not occur until 2025.,Thousands,Brasília,0,0,X,0,0,0,0,0,0,"100,00%"
Argentina,Anti-austerity protests,23-Dec,Free,"President Javier Milei announced austerity measures including a 54 percent devaluation of the peso, cuts to subsidies, and closures of multiple government agencies. Milei's proposed labor reforms include extending the legal job probation period from three to eight months, reducing compensation in case of dismissal, and cutting pregnancy leave. The sovereign bond market rallied in early 2024 as the government recorded its first surplus in years—reached by slashing social security by 30 percent, when adjusted for inflation.","Protesters denounced the austerity measures put forward by the new president. As Milei has implemented his austerity policies, protesters have continued to express discontent as they struggle with currency devaluation amid rising costs.",">10,000",General Confederation of Labor; SOEA oilseed union; maritime workers' unions; general public,7 months,"On the same day thousands marched against austerity in December 2023, Milei announced wide-reaching deregulation of the economy and the establishment of a framework for privatizing state-run industries. Milei's labor reforms were temporarily frozen by judges of Argentina's labor appeals chamber. The bill was approved by the Senate on June 2024. In September 2024, Argentina's poverty rate rose to over 50 percent as a result of Milei's austerity policies.",Tens of thousands,Buenos Aires,0,X,X,0,0,0,X,X,0,"1000,00%"
